City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,8,PF,1554188314,100,-23.12,-134.97,76,15.7
Hermanus,0,ZA,1554187579,77,-34.42,19.24,62.01,5.99
Teguise,40,ES,1554186600,82,29.06,-13.56,64.4,16.11
Ouadda,0,CF,1554188323,62,8.07,22.4,78.07,7.31
Chapais,90,CA,1554186300,85,49.78,-74.86,17.6,5.82
Micheweni,48,TZ,1554188325,100,-4.97,39.83,83.2,10.45
Tazovskiy,56,RU,1554188176,98,67.47,78.7,24.88,5.19
Vengerovo,0,RU,1554188326,92,55.68,76.74,37.57,18.72
Oranjestad,40,AW,1554184800,83,12.52,-70.03,78.8,12.75
Avarua,32,CK,1554186600,78,-21.21,-159.78,80.6,13.87
Khatanga,88,RU,1554188328,100,71.98,102.47,26.59,13.69
Saint-Georges,80,CA,1554187570,72,46.12,-70.67,28,5.01
Bosaso,0,SO,1554184800,58,11.28,49.18,86,28.86
Faanui,92,PF,1554188229,96,-16.48,-151.75,86.08,5.08
Barrow,0,AR,1554188333,73,-38.31,-60.23,71.05,13.69
Ulladulla,0,AU,1554187511,60,-35.36,150.48,69.01,12.75
Chuy,48,UY,1554188335,95,-33.69,-53.46,65.2,7.99
Manitouwadge,64,CA,1554188336,81,49.12,-85.84,27.85,7.43
Komsomolskiy,68,RU,1554188127,92,67.55,63.78,25.15,17.05
Hilo,90,US,1554188303,78,19.71,-155.08,73.4,6.93
Yellowknife,20,CA,1554188163,65,62.45,-114.38,8.6,11.41
Oktyabrskoye,20,RU,1554188117,60,56.73,85.44,48,24.61
Alyangula,75,AU,1554184800,66,-13.85,136.42,87.8,9.17
Kamenka,0,RU,1554188342,95,53.19,44.05,32.98,10
Ahipara,8,NZ,1554188343,87,-35.17,173.16,64.57,13.58
Mataura,88,NZ,1554187805,81,-46.19,168.86,51.01,7.76
Russellville,1,US,1554188317,77,35.28,-93.13,37.4,4.7
Hobart,0,AU,1554188176,59,-42.88,147.33,63,11.41
Upernavik,0,GL,1554188344,95,72.79,-56.15,8.14,7.99
Tadine,24,NC,1554188345,93,-21.55,167.88,80.05,16.04
Kaitangata,92,NZ,1554188316,82,-46.28,169.85,50,4
Naze,24,NG,1554188158,93,5.43,7.07,76.99,8.21
Aqtobe,0,KZ,1554186600,53,50.28,57.21,50,8.95
Ushuaia,75,AR,1554184800,87,-54.81,-68.31,50,2.95
Beloha,0,MG,1554188347,68,-25.17,45.06,78.79,4.52
Kodinar,0,IN,1554188347,31,20.79,70.7,96.25,4.41
Albany,20,US,1554188137,53,42.65,-73.75,27,2.39
Fortuna,40,ES,1554188316,100,38.18,-1.13,57,2.24
Mahebourg,75,MU,1554188342,74,-20.41,57.7,84.99,3.36
Aykhal,92,RU,1554188349,85,65.95,111.51,33.43,6.76
Requena,20,ES,1554188347,93,39.49,-1.1,55.99,3.36
Samarai,56,PG,1554188350,100,-10.62,150.67,81.58,14.47
Amaigbo,0,NG,1554188351,92,5.78,7.83,76.99,7.65
Vaini,0,IN,1554184800,20,15.34,74.49,95,5.82
Severo-Kurilsk,88,RU,1554188352,97,50.68,156.12,30.82,11.34
Morehead,1,US,1554187577,37,38.18,-83.43,37.4,3.36
Metro,12,ID,1554188353,68,-5.11,105.31,89.5,11.56
Springfield,1,US,1554188207,59,37.22,-93.29,39.99,6.93
Butaritari,64,KI,1554188354,98,3.07,172.79,84.73,10.89
Thompson,90,CA,1554184800,85,55.74,-97.86,19.4,20.8
Tessalit,0,ML,1554188356,31,20.2,1.01,68.35,8.99
Provideniya,12,RU,1554188357,100,64.42,-173.23,26.32,7.2
Leshukonskoye,0,RU,1554188357,67,64.9,45.76,30.64,7.99
Jamestown,0,AU,1554188358,45,-33.21,138.6,74.56,3.4
Banting,75,MY,1554187923,63,2.82,101.5,93.2,5.82
Hefei,0,CN,1554184800,32,31.82,117.22,66.2,6.71
Saint-Paul,90,FR,1554188112,60,45.22,1.9,48.99,3.36
Cherskiy,88,RU,1554188359,75,68.75,161.3,31.81,5.19
Maraa,8,BR,1554188360,91,-1.83,-65.37,77.44,2.73
Tiznit,80,MA,1554188360,81,29.7,-9.73,55.12,4.63
Sinnamary,0,GF,1554188361,95,5.38,-52.96,79.69,10.22
Panjab,0,AF,1554188361,94,34.38,67.02,39.28,1.72
Busselton,0,AU,1554188255,24,-33.64,115.35,78.01,11.45
Kapaa,90,US,1554188299,83,22.08,-159.32,73.4,9.17
Sur,8,OM,1554188363,75,22.57,59.53,84.1,6.42
Ajdabiya,0,LY,1554188363,47,30.75,20.22,60.34,17.72
Hamilton,75,CA,1554188338,80,43.26,-79.87,33.8,9.17
Touros,40,BR,1554184800,100,-5.2,-35.46,73.4,4.7
Kainantu,92,PG,1554188364,95,-6.29,145.87,69.34,1.28
Esperance,40,TT,1554188107,88,10.24,-61.45,75.2,5.41
Lavrentiya,20,RU,1554188365,85,65.58,-170.99,20.83,2.06
Berasia,0,IN,1554184800,11,23.63,77.43,96.8,4.7
Nikolskoye,0,RU,1554188136,69,59.7,30.79,39,11.18
Ancud,90,CL,1554184800,100,-41.87,-73.83,50,1.12
Harrison,1,US,1554188361,62,39.26,-84.82,36,2.73
Brunswick,0,DE,1554188284,60,52.26,10.53,45,6.93
Lasa,20,CY,1554187594,77,34.92,32.53,60.8,5.82
Qaanaaq,0,GL,1554188149,77,77.48,-69.36,-8.06,7.54
Tuktoyaktuk,56,CA,1554188371,88,69.44,-133.03,10.48,18.72
College,1,US,1554188105,64,64.86,-147.8,41,3.36
Anadyr,75,RU,1554187946,89,64.73,177.51,32,24.61
Timmins,90,CA,1554184920,74,48.48,-81.33,28.4,9.17
Gayny,0,RU,1554188372,86,60.3,54.33,31.45,6.76
Beitbridge,64,ZA,1554188372,85,-22.21,29.99,72.49,15.03
Ust-Kuyga,0,RU,1554188373,77,70,135.55,23.62,8.77
Alugan,0,PH,1554188374,85,12.22,125.48,82.21,13.8
Srednekolymsk,80,RU,1554188374,78,67.46,153.71,22.45,3.29
Hofn,0,IS,1554188224,100,64.25,-15.21,34.87,24.32
Tateyama,75,JP,1554187897,93,36.66,137.31,46,5.82
Quimper,75,FR,1554188286,87,48,-4.1,48.99,9.17
Shimoda,75,JP,1554186240,22,34.7,138.93,55.4,9.17
Christchurch,0,NZ,1554188287,71,-43.53,172.64,53.01,9.17
Plainview,1,US,1554188254,45,34.18,-101.71,50,9.17
Inuvik,20,CA,1554184800,84,68.36,-133.71,5,6.93
Hithadhoo,0,MV,1554188380,100,-0.6,73.08,84.28,8.55
Carnarvon,0,ZA,1554188380,87,-30.97,22.13,40.99,10.33
Georgetown,0,GY,1554184800,94,6.8,-58.16,71.6,2.24
Inongo,8,CD,1554188381,92,-1.93,18.29,75.1,3.4
Oranjemund,0,ZA,1554188318,92,-28.55,16.43,58.63,17.49
Seoul,20,KR,1554187200,16,37.57,126.98,53.6,5.82
Maceio,0,BR,1554188400,88,-9.67,-35.74,75.2,4.7
Chicama,40,PE,1554184800,93,-7.84,-79.15,66.2,6.93
Bethel,1,US,1554184560,76,60.79,-161.76,39.2,6.93
Sorong,64,ID,1554188383,100,-0.86,131.25,82.75,6.08
Trofors,0,NO,1554186000,69,65.54,13.39,41,5.82
Atuona,0,PF,1554188385,98,-9.8,-139.03,83.11,13.02
Lompoc,90,US,1554188224,100,34.64,-120.46,57.2,5.82
Hovd,0,NO,1554188361,51,63.83,10.7,37,18.34
Kavaratti,20,IN,1554188385,100,10.57,72.64,82.75,6.08
Sharjah,68,AE,1554184800,42,25.36,55.39,91.4,11.41
Arlit,0,NE,1554188103,32,18.74,7.39,70.69,2.62
Tasiilaq,88,GL,1554184200,68,65.61,-37.64,24.8,13.87
Kaohsiung,40,TW,1554188107,54,22.62,120.31,84.2,12.75
Salta,90,AR,1554184800,93,-24.79,-65.41,68,2.24
Hami,32,CN,1554188391,41,42.84,93.51,72.22,8.21
Poso,24,ID,1554188392,100,-1.4,120.75,82.3,4.52
Saint-Philippe,1,CA,1554188342,63,45.36,-73.48,30.99,6.93
Bluff,0,AU,1554188155,37,-23.58,149.07,85.63,13.02
Klaksvik,32,FO,1554186000,100,62.23,-6.59,32,2.24
Ilulissat,32,GL,1554184200,44,69.22,-51.1,17.6,12.75
Hornepayne,48,CA,1554188395,83,49.22,-84.78,26.32,7.76
Mpika,44,ZM,1554188396,86,-11.84,31.4,67.27,4.52
Kavieng,68,PG,1554188157,97,-2.57,150.8,85.27,9.33
Farah,24,AF,1554188397,74,32.37,62.11,73.39,4.07
