License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
1302914,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,53 LAPIDAR INC,,53 STONE ST,,NEW YORK,NY,10004,,03/05/2019
1304304,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,WOLFE LIC INC,2 DIVE 4,33-10 36TH AVE ,,LONG ISLAND CITY,NY,11106,888417,01/17/2019
1304478,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,FLAT TOP INC,FRANKIE & MATT,508 COLUMBUS AVE,,NEW YORK,NY,10024,,03/22/2019
1306781,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,EL ENCANTO CENTRO AMERICANO RESTAURANT INC,EL ENCANTO CENTRO AMERICANO RESTAURANT,14912 JAMAICA AVE,,JAMAICA,NY,11435,888668,03/19/2019
1308127,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,ELITE GROUP HOLBROOK INC,,4815 VETERANS MEMORIAL HWY,,HOLBROOK,NY,11741,,03/13/2019
1311598,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,ELITE GROUP HOLBROOK INC,,4815 VETERANS MEMORIAL HWY,,HOLBROOK,NY,11741,,03/05/2019
1312978,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,MP LORRAINE CORP,ASSOCIATES SUPERMARKET,58 60 LORRAINE ST,,BROOKLYN,NY,11231,903876,01/24/2019
1313065,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,A & K PARTY HALL CORP,EL SABOR LATINO DE 2 BANDERAS,2241 WASHINGTON AVE,,BRONX,NY,10457,,02/25/2019
1313103,WHOLESALE LIQUOR,203,LL,1,New York City,BRONX,ANHEUSER BUSCH DISTRIBUTORS OF NEW YORK INC,,550 FOOD CENTER DR,HUNTS POINT FOOD DIST CENTER,BRONX,NY,10474,,03/18/2019
1313240,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,SUGAR HILL CANDY CORP,,741 ST NICHOLAS AVE,,NEW YORK,NY,10031,903949,01/16/2019
